Drug A,Drug B,nAB1,Lift,Conviction
Alimemazine tartrate,Clarithromycin,3,45.942,1.005
Disopyramide phosphate,Enalapril Maleate,3,45.547,1.006
Cefepime hydrochloride hydrate,Nitroglycerin,8,44.91,1.024
Candesartan Cilexetil,Isosorbide mononitrate,10,44.683,1.027
Azithromycin Hydrate,Isosorbide mononitrate,10,44.643,1.03
Azithromycin Hydrate,Piperacillin Sodium,10,43.732,1.029
Procaterol hydrochloride hydrate,Tranexamic acid,3,43.732,1.009
Clarithromycin,Procaterol hydrochloride hydrate,4,43.573,1.026
Cefazolin Sodium,Piperacillin Sodium,3,43.103,1.008
Cefditoren pivoxil,Tranexamic acid,4,43.103,1.011
Candesartan Cilexetil,Diltiazem hydrochloride,10,43.066,1.026
Fosfomycin sodium,Tranexamic acid,4,42.614,1.011
Tipepidine hibenzate,Tranexamic acid,3,42.373,1.008
Acetaminophen,Ethyl loflazepate,6,42.293,1.04
Alimemazine tartrate,L-Carbocysteine,3,42.135,1.004
Pranlukast Hydrate,Theophylline,3,41.899,1.004
Felodipine,Sodium valproate,3,41.36,1.005
Imidapril Hydrochloride,Sodium valproate,3,41.36,1.005
Azithromycin Hydrate,Diltiazem hydrochloride,10,41.209,1.028
Acetaminophen,Loratadine,4,40.431,1.038
Cefpirome sulfate,Warfarin potassium,3,40.377,1.004
General cold medicine,Mosapride Citrate Hydrate,3,39.13,1.006
Imipenem hydrate/cilastatin sodium,Nicorandil,3,38.544,1.006
L-Carbocysteine,Tipepidine hibenzate,4,37.831,1.016
Fosfomycin sodium,Oseltamivir phosphate,4,37.406,1.01
Candesartan Cilexetil,Nitroglycerin,8,37.244,1.022
Cefmetazole Sodium,Meropenem hydrate,4,37.186,1.009
Sodium valproate,Zonisamide,6,36.765,1.021
Extract from inflamed skin of rabbits inoculated with vaccinia virus,Levofloxacin hydrate,6,36.578,1.008
Azithromycin Hydrate,Nitroglycerin,8,36.145,1.024
Cefcapene Pivoxil Hydrochloride Hydrate,Loratadine,4,36.058,1.039
Insulin Aspart (genetically recombinant),Lansoprazole,3,36.014,1.004
Cefcapene Pivoxil Hydrochloride Hydrate,Fosfomycin sodium,6,35.156,1.038
Acetaminophen,Fosfomycin sodium,5,34.787,1.033
Cefepime hydrochloride hydrate,Imidapril Hydrochloride,3,34.509,1.018
Argatroban hydrate,Candesartan Cilexetil,3,34.404,1.003
Digoxin,Enalapril Maleate,3,34.026,1.006
Glimepiride,Voglibose,3,33.988,1.004
Amlodipine besylate,Imidapril Hydrochloride,4,31.898,1.02
Cefepime hydrochloride hydrate,Human serum albumin,3,31.25,1.016
Famotidine,Phenytoin sodium,3,30.832,1.021
Levofloxacin hydrate,Telithromycin,7,30.069,1.024
Phenobarbital,Zonisamide,3,29.644,1.012
Isosorbide mononitrate,Levofloxacin hydrate,9,29.628,1.013
