antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"Infliximab (genetical recombination), Alfacalcidol",frozenset({'Methotrexate'}),0.0037,0.0462,0.003533333333333333,0.9549549549549549,20.67002067002067,1.0,0.003362393333333333,21.174359999999954,0.9551548275790235,0.07620416966211359,0.9527730708271701,0.5157170157170157
"Infliximab (genetical recombination), Alfacalcidol",frozenset({'Prednisolone'}),0.0037,0.091,0.0031666666666666666,0.8558558558558558,9.405009405009404,1.0,0.0028299666666666665,6.3061874999999965,0.8969925566702062,0.03459577567370721,0.8414255839998414,0.4453271953271953
"Alfacalcidol, Methotrexate",frozenset({'Prednisolone'}),0.006,0.091,0.004966666666666667,0.8277777777777778,9.096459096459098,1.0,0.0044206666666666665,5.278064516129034,0.8954397526096174,0.05396595436436074,0.8105366092164773,0.4411782661782662
"Bucillamine, Methotrexate",frozenset({'Prednisolone'}),0.004933333333333333,0.091,0.0038,0.7702702702702703,8.464508464508464,1.0,0.0033510666666666665,3.956823529411765,0.8862317256359443,0.04124457308248915,0.7472720244997473,0.406014256014256
"Calcium Levofolinate, Neutropenia",frozenset({'Fluorouracil'}),0.003,0.014533333333333334,0.003,1.0,68.80733944954129,1.0,0.0029564,inf,0.9884319625543296,0.20642201834862384,1.0,0.6032110091743119
"Fluorouracil, Neutropenia",frozenset({'Calcium Levofolinate'}),0.0034,0.007366666666666666,0.003,0.8823529411764707,119.77641735427204,1.0,0.0029749533333333334,8.43738333333334,0.9950342274845585,0.3862660944206009,0.8814798426842446,0.6447963800904978
"Calcium Levofolinate, Oxaliplatin",frozenset({'Fluorouracil'}),0.004033333333333333,0.014533333333333334,0.004,0.9917355371900827,68.23868375161119,1.0,0.003941382222222223,119.24146666666707,0.989335876925823,0.27459954233409606,0.9916136556522284,0.6334824474941239
"Oxaliplatin, Fluorouracil",frozenset({'Calcium Levofolinate'}),0.004,0.007366666666666666,0.004,1.0,135.74660633484163,1.0,0.003970533333333333,inf,0.996619812583668,0.5429864253393665,1.0,0.7714932126696833
Oxaliplatin,"frozenset({'Calcium Levofolinate', 'Fluorouracil'})",0.004066666666666666,0.007333333333333333,0.004,0.9836065573770493,134.12816691505216,1.0,0.003970177777777778,60.55266666666701,0.9965972733560925,0.5405405405405406,0.983485450682051,0.7645305514157974
"Prednisolone, Doxorubicin hydrochloride",frozenset({'Cyclophosphamide hydrate'}),0.004366666666666666,0.0204,0.004166666666666667,0.9541984732824428,46.77443496482562,1.0,0.0040775866666666665,21.38793333333335,0.9829128527905184,0.20226537216828477,0.9532446644369567,0.5792234196477574
"Doxorubicin hydrochloride, Rituximab (genetical recombination)",frozenset({'Cyclophosphamide hydrate'}),0.0041,0.0204,0.0041,1.0,49.01960784313725,1.0,0.00401636,inf,0.9836328948689627,0.20098039215686275,1.0,0.6004901960784313
"Cyclophosphamide hydrate, Doxorubicin hydrochloride",frozenset({'Vincristine sulfate'}),0.007066666666666666,0.013266666666666666,0.006366666666666666,0.9009433962264151,67.91030624822224,1.0,0.006272915555555555,9.961307936507934,0.9922868550321047,0.45584725536992843,0.8996115764743076,0.6904214468569261
"Vincristine sulfate, Doxorubicin hydrochloride",frozenset({'Cyclophosphamide hydrate'}),0.0071333333333333335,0.0204,0.006366666666666666,0.8925233644859812,43.75114531794026,1.0,0.006221146666666667,9.114539130434776,0.9841638241093623,0.3007874015748031,0.8902851822029209,0.6023074338769775
"Prednisolone, Rituximab (genetical recombination)",frozenset({'Cyclophosphamide hydrate'}),0.004566666666666667,0.0204,0.0041,0.8978102189781022,44.01030485186775,1.0,0.00400684,9.586085714285716,0.981761425959034,0.1964856230031949,0.8956821345223583,0.5493953055674825
"Prednisolone, Cyclophosphamide hydrate",frozenset({'Vincristine sulfate'}),0.0084,0.013266666666666666,0.0059,0.7023809523809524,52.94328786791099,1.0,0.00578856,3.3154240000000006,0.9894230177559294,0.3742071881606765,0.6983794531257541,0.5735522852357023
"Prednisolone, Vincristine sulfate",frozenset({'Cyclophosphamide hydrate'}),0.006333333333333333,0.0204,0.0059,0.9315789473684211,45.6656346749226,1.0,0.0057707999999999995,14.317230769230772,0.9843358217865691,0.28319999999999995,0.930154090821173,0.6103973168214654
"Cyclophosphamide hydrate, Rituximab (genetical recombination)",frozenset({'Vincristine sulfate'}),0.0066,0.013266666666666666,0.005533333333333334,0.8383838383838385,63.19476168722401,1.0,0.005445773333333333,6.105412500000003,0.990714620107165,0.3860465116279071,0.8362109030307125,0.6277346327597584
"Vincristine sulfate, Rituximab (genetical recombination)",frozenset({'Cyclophosphamide hydrate'}),0.0056,0.0204,0.005533333333333334,0.9880952380952381,48.43604108309991,1.0,0.005419093333333334,82.2864000000003,0.9848694859890084,0.2703583061889251,0.9878473234945265,0.6296685340802988
"Diphenhydramine hydrochloride, Paclitaxel",frozenset({'Dexamethasone sodium phosphate'}),0.0038666666666666667,0.0207,0.0036333333333333335,0.9396551724137931,45.39396968182576,1.0,0.0035532933333333335,16.22840000000001,0.9817668071896348,0.1735668789808917,0.9383796307707476,0.557589260925093
"Diphenhydramine hydrochloride, Dexamethasone sodium phosphate",frozenset({'Paclitaxel'}),0.004066666666666666,0.014333333333333333,0.0036333333333333335,0.8934426229508198,62.33320625238277,1.0,0.0035750444444444447,9.250102564102573,0.9879749513464848,0.24604966139954856,0.8918930905825023,0.5734654975219216
"Folic acid, Diclofenac sodium",frozenset({'Methotrexate'}),0.003033333333333333,0.0462,0.003033333333333333,1.0,21.645021645021647,1.0,0.0028931933333333332,inf,0.9567019960546993,0.06565656565656566,1.0,0.5328282828282829
"Diclofenac sodium, Infliximab (genetical recombination)",frozenset({'Methotrexate'}),0.006,0.0462,0.005933333333333333,0.9888888888888888,21.404521404521404,1.0,0.005656133333333333,85.84199999999944,0.9590351095336062,0.1282420749279539,0.9883506908040353,0.5586580086580086
"Diclofenac sodium, Infliximab (genetical recombination)",frozenset({'Prednisolone'}),0.006,0.091,0.005333333333333333,0.8888888888888888,9.768009768009767,1.0,0.004787333333333333,8.180999999999997,0.903043259557344,0.058181818181818175,0.877765554333211,0.47374847374847373
"Diclofenac sodium, Methotrexate",frozenset({'Prednisolone'}),0.0093,0.091,0.0076,0.8172043010752689,8.980267044783174,1.0,0.0067537,4.972764705882354,0.896986713275568,0.0819848975188781,0.7989046216449602,0.4503603922958762
"Prednisolone, Doxorubicin hydrochloride",frozenset({'Vincristine sulfate'}),0.004366666666666666,0.013266666666666666,0.004166666666666667,0.9541984732824428,71.92450803636504,1.0,0.004108735555555555,21.543677777777795,0.9904213733302084,0.30940594059405935,0.953582670038284,0.6341344125206184
"Vincristine sulfate, Rituximab (genetical recombination)",frozenset({'Doxorubicin hydrochloride'}),0.0056,0.01,0.004033333333333333,0.7202380952380952,72.02380952380952,1.0,0.003977333333333334,3.538723404255319,0.9916690491546047,0.34870317002881845,0.7174122174122174,0.5617857142857143
"Doxorubicin hydrochloride, Rituximab (genetical recombination)",frozenset({'Vincristine sulfate'}),0.0041,0.013266666666666666,0.004033333333333333,0.9837398373983739,74.15124402500307,1.0,0.00397894,60.684099999999674,0.990575408762704,0.3025,0.9835212189024801,0.6438799689504432
"Ethambutol Hydrochloride, Isoniazid",frozenset({'Rifampin'}),0.0049,0.0075,0.004533333333333334,0.925170068027211,123.3560090702948,1.0,0.004496583333333333,13.263409090909116,0.9967775925564678,0.5762711864406781,0.9246046025463084,0.7648072562358278
"Ethambutol Hydrochloride, Rifampin",frozenset({'Isoniazid'}),0.005266666666666667,0.012566666666666667,0.004533333333333334,0.8607594936708861,68.49545042473895,1.0,0.004467148888888889,7.091566666666669,0.990617743645947,0.3408521303258146,0.858987435780528,0.6107510996205889
